名稱,分類,緯度,經度,地址,電話,介紹,圖片
香蕉咖啡館,美食饗宴;風味茶飲;大小雅路商圈,23.477065,120.476198,嘉義市大雅路二段295-1號,05-2784877,從南國特有清爽的純白建築與陽光灑落大片的落地窗裡，香蕉咖啡館帶出了專屬熱帶的度假風情。與世隔絕的佇立在半山腰的環境，提供了人們一個放鬆愜意的好角落。<br>  三五好友相約作夥話家常，店名的發想就來自臺語「相揪」的諧音，由老闆本著一顆想與朋友分享的心而來，這趣味的發想，可以看出老闆跳躍而豐富的思維。<br>咖啡館戶外大片的植栽與造景，與二樓露天的開放座位，都為了讓生活在都市中忙碌的朋友精心設計，犧牲營運的空間而運用在戶外，只因為老闆看重心靈的愉悅勝過盈餘。<br>所以從沒有壓力的簡約設計與開闊挑高的舒適環境裡，都營造出無壓與休閒的氛圍。這份對設計的敏銳和獨到的眼光，讓原本只存在於南洋島國才能享受到的自在悠然，忠實的在香蕉咖啡館裡重現。<br>  店內除了提供特製的香蕉創意飲品及茶點，跳脫傳統思維的PIZZA PAN，也由擁有20多年法式餐廳經驗的主廚所特製，豐盛的份量與平實的定價，除了貼心的為消費者的荷包把關，在品質的呈現上也不曾偏廢。於是不論是學生族群，或是注重保養的女性，都能在香蕉咖啡館中享受這份輕鬆寫意。<br>  在營運的兩年裡，除了不斷推出特色產品，極力滿足消費者挑剔的味蕾外，未來更計畫推出早點，供晨起的客人能有更多元的選擇。所以無論您喜歡午後暖陽的洗禮，或是偏愛夜裡迷人的絢麗街景，在香蕉咖啡館裡，都能忘卻時間的流逝，放鬆的徜徉其中。,http://fun.chiayi.gov.tw/cy2012/images/720/images/香蕉咖啡館1.jpg
白雲雅驛,交通住宿;住宿;大小雅路商圈,23.482791,120.486417,嘉義市盧厝里文雅街17巷21號,05-2768383,簡約時尚的主體空間內注入時尚元素，每間客房皆呈現不同風格與主題，不論是典雅的中式風情或是流露現代摩登的都會風格，抑或是讓人感到平靜的優雅禪風，用心打造精緻的室內空間，都能充分撫慰旅人疲憊的身心靈。<br>在匠心獨具的客房裡盡是奢華享受，手工訂製的加大彈簧床、五星級替換式羽絨被枕、氣壓式按摩浴缸、獨立空調冷暖系統、VOD影音隨選系統、法國知名品牌歐舒丹精選備品、專屬室內車庫、反針孔偷拍機制等等。全方位的為各年齡層的房客做好充足的準備，貼心的服務，讓人不禁沈醉其中。<br>  客房內提供免費的有線寬頻上網服務，讓您能隨時掌握網路世界的瞬息萬變。旅館內全面通過消防安全、公共安全檢查與24小時不停歇的警民連線系統，讓旅人們在此住的放心與安心。此外，率先採用美國環保局註冊通過的抗菌清潔用品，精心挑選的清潔用品讓每位房客都能享受到無菌乾淨且安心的住宿環境。<br>  無需擔心喧囂吵雜的環境會壞了旅遊愜意的心境，白雲雅驛便利的交通位置緊鄰熱鬧市中心商業區，更與嘉義各著名景點相比鄰，讓遠道而來的旅人可悠閒地享受逛街的樂趣或是就近遊賞美麗景點。<br>  想保有一處不被打擾的空間，如同與自己獨處般自在的感受，並在旅程中享受片刻的悠閒時光，白雲雅驛這處完美融合全新設計概念的精品旅館，竭誠地歡迎追求品味的您蒞臨鑑賞。,http://fun.chiayi.gov.tw/cy2012/images/921/images/白雲雅驛1.jpg
碰碰諸羅山,文化巡禮;文化展館,23.472901,120.44496,嘉義市新榮路34巷1號2F,0983-020171,「碰碰諸羅山」，好特別的名字！大家都曉得諸羅山是嘉義的老地名，但是為什麼要在諸羅山前面加上「碰碰」兩字？人稱「老狼」（他有一台很老的野狼摩托車）的背包客棧主人郭芳祺說，第一個碰，是因為背包客們來此相遇、碰到的意思；第二個碰，則是希望彼此在這裡交流、碰出新的火花，增添旅程的精彩故事。因此，來到碰碰諸羅山的旅人一律稱呼為「碰友」。<br>這棟房子原本是興建於民國58年（1969）的菸酒公賣局舊宿舍，民國102年（2013）初，當老狼在嘉義尋覓一處有味道的房子、想要成立背包客棧的構想之時，這棟有著深灰色水泥外壁的國宅式老公寓，隱身在巷口轉角處，雖低調卻又引人想親近它，就這樣老狼被這老房子所吸引，決定改造老房子、並投身經營背包客棧。<br>現在依然年輕的「老狼」喜歡到處打工換宿，因此與各界朋友交流頻繁，原本回到嘉義後打算務農，不過卻陰錯陽差地開了背包客棧。在租下這棟老公寓後，花了兩、三個月的時間，將原本有壁癌、裂縫、掉漆…等破舊不堪的房子，重新補牆、粉刷、改造成一間復古卻有味道的背包客棧。<br>  從碰碰諸羅山內的擺設與佈置，可以看出老狼是一個關心社會、人文、土地的人，房內不僅有廢核旗幟、社運標語及自然有機農法栽種的產品…等，表達出他對社會的觀感與期待。也因為對社會議題的關懷，老狼也利用這個空間不定期舉辦分享會及講座。 <br>此外，從民國102年（2013）8月中開始，頂樓陽臺的空間也要進行大改造。除了會有雨水回收及綠能發電系統、並成立空中菜園及親水空間，屆時會有充滿可食作物的發呆亭、戀愛BBQ、玉米迎賓步道、觀星躺椅、素人歌手舞台等設施，成為一個全新的公共生活空間、生活教育基地。,http://fun.chiayi.gov.tw/cy2012/images/912/images/碰碰諸羅山1.jpg
新生火雞肉飯,美食饗宴;國民美食,23.49263,120.457705,嘉義市新生路619號,05-2776330,老闆娘堅持原味，不添加人工香料，使火雞肉飯散發出刺激味蕾的自然香味，再來一碗連夏天也熱賣的麻油雞湯，原來，雞湯與雞肉飯也能如此絕配！店內寬敞明亮的環境，碗筷皆經過殺菌處理，讓人享用美食之餘亦能兼顧衛生。,http://fun.chiayi.gov.tw/cy2012/images/645/images/新生火雞肉飯1.jpg
布爾諾創意料理,美食饗宴;主題餐廳;大小雅路商圈,23.483907,120.487988,嘉義市東洋新村605號,05-2782179,運用曾是媒體公關人的專長，將自家的店鋪當成明星一樣包裝。店長Eddy靠著主動出擊的活力，將原本客人稀稀落落的布爾諾，從跑龍套的角色變為主角般閃亮的強烈存在。<br>  陌生的生活步調與一切從零開始的壓力，若說沒有造成Eddy的壓力是騙人的，所以他帶著感性的語氣感謝回到嘉義後幫助他熟悉環境的好朋友們。而除了從朋友處得到的奧援外，能讓布爾諾在短時間內發出閃耀光芒的主因，是Eddy積極而主動的行銷方式。「因為我很愛面子啊，所以想做就一定要做好它」他笑著這麼說，彷彿一切如此理所當然。所以本來被認為是負面特質的愛面子，在他積極的作為裡，出人意表的轉化成為動力。<br>曾經有位到訪布爾諾的客人身體微恙，Eddy與主廚主動關心，並提議幫客人提供適合他身體狀況的料理。這份貼心的舉動讓客人留下深刻印象，也是他在經營餐廳時最想提供給客人的服務。就像是布爾諾(Bueno)這句西班牙語的原意“棒”一般，能做出讓客人由衷讚美的品質與服務，是他早在發想店名時就不斷提醒自己的。<br>所以聘請有多年經驗的廚師並研發各式菜樣，更加入一般簡餐少見的前菜，並且不時更換菜色。在推陳出新的執行上，是這般的不遺餘力，務求讓常客也能保有新鮮感。因而店內處處可以看到年輕思維所打造出的新穎感。儘管布爾諾裹著餐廳的外衣，卻在家常的氣氛之中，傳達出家一般的舒適感。<br>調整自己的思緒，捨棄盲目追求浮誇的生活模式。布爾諾像是Eddy的分身，與他一同成長蛻變，手舞足蹈且活靈活現的演繹著，讓每個人都讚嘆的精準演出。,http://fun.chiayi.gov.tw/cy2012/images/859/images/布爾諾創意料理1.jpg
滿冠茶園,美食饗宴;伴手禮,23.470112,120.453115,嘉義市吳鳳南路48巷70-6號,05-2227963,沒有肥沃的土地，一切都是空談；一份耕耘就有一分收穫。愛茶，要懂茶。茶樹所需要的養分與照料，茶農用所有的心力完全供應。<br>滿冠茶園由兩兄弟齊心協力共同經營，至今已經20多年了。最重要的是他們用心去耕耘，對於他們位在山上的茶樹呵護無微不至，為茶樹打造一片健康的土壤，祈望茶樹們健康自然茁壯的成長。<br>他們首先充實自己有機栽種的知識，參加學習栽種純有機工法的課程，再加上茶園的前輩們毫無藏私的經驗分享提點，對於茶園的管理，他們認為最好全面不使用化肥農藥，有病、有菌的茶株另外處理；若沒有症狀的茶樹任由其自然生長，因此他們所採用的是自然農法的管理法則！<br>滿冠茶園的兩位兄弟用黃豆粉、苦茶渣、地麻渣、打碎的椰子殼混合，用自然發酵法，滋養土壤回歸自然。再用過期的鮮奶加海藻粉和濃黑糖汁按比例拌勻等待發酵後，噴灑茶葉面，成為茶葉面的養分，若是落在土壤，也可再次滋潤土地。<br>滿冠茶園的經理人范小姐說：他們有自己的茶園，自種自製自銷，他的先生是製茶師傅，腳踏實地，由於種茶製茶的經驗豐富，每每在各項茶葉比賽中屢獲優勝的佳績。<br>滿冠茶園的茶葉有自己的品牌，通過SGS農藥殘留及318項最高級的檢測通過，有專屬多媒體的二維條碼產銷履歷，並獲得阿里山茶事協會的認證，品質絕對有保證。<br>歡迎來滿冠茶園坐坐，泡一壺茶，聊個天，觀賞茶園風光，這裡的茶葉來源值得您信賴。,http://fun.chiayi.gov.tw/cy2012/images/839/images/滿冠茶園1.jpg
丹杰食品,美食饗宴;伴手禮,23.469683,120.440031,嘉義市新民路762號3F1,05-2858868,說到嘉義方塊酥，幾家老字號的招牌早已名聞遐邇。然而丹杰食品用鮮為人知的臺語諧音「皇帝酥」來命名，讓人覺得它好像是另一種商品，不過說它是方塊酥裡的「五星級」一點也不為過！<br>呷「餅」皇帝大！丹杰食品「皇帝酥」，將嘉義傳統美食方塊酥創意加值。過去農業社會，「吃飯」是百姓體力及營養補充的主要來源，於是民間盛行「呷飯皇帝大」的俗語。如今物質豐饒，正餐之外有許多時間都離不開零嘴。<br>丹杰食品的老闆鍾先生觀察方塊酥市場已被低價競爭到利潤微薄，由於老闆財力有限，價量無法與其他大量生產的工廠相比，所以丹杰不做傳統杏仁、花生口味，鑽研用薰衣草、迷迭香等可以直接拿來泡花茶等級的原料製作方塊酥，與市售方塊酥作市場區隔；後來丹杰更和嘉義大學原民中心合作，研發馬告（山胡椒）口味的方塊酥，也嘗試用花蓮有機當歸、阿里山咖啡豆為原料來製作，並主力在網路上銷售。<br>「即使吃零食也要吃得健康！」這是丹杰食品老闆鍾先生以「呷餅皇帝大」為標語推出全新品牌「皇帝酥」所堅持的理念。丹杰所開發的嘉義名產純手工極品方塊酥，是方塊酥的健康改良版，堅持吃零嘴也得吃的健康!因此採用100%進口無水奶油為原料，光是成本就為市售方塊酥所用化學酥油的6~7倍。絕對不含防腐劑、反式脂肪、氧化油脂，更沒有添加人工色素、化學香料、防腐劑等添加物。吃起來不油膩、不燥熱、不乾渴，層出不窮的芝麻香！百吃不膩的經典原味！是茶點的不二選擇！,http://fun.chiayi.gov.tw/cy2012/images/498/images/丹杰食品1.jpg
嘉林火雞肉飯,美食饗宴;國民美食,23.49691,120.4556,嘉義市台林街209之1號,05-2785088,好吃不是沒有道理！滷汁是經由家傳的獨特秘方調配而成，以及當天現宰的新鮮國產火雞肉，搭配上不油膩的油蔥酥和清爽醃蘿蔔，雞肉飯在熱情的王老闆巧手料理下，光看就令人垂涎三尺，也在眾多雞肉飯店家中擁有一片天。,http://fun.chiayi.gov.tw/cy2012/images/647/images/嘉林火雞肉飯1.jpg
烏司答士耳其居家香料料理,美食饗宴;異國料理;大小雅路商圈,23.483607,120.488443,嘉義市文雅街240號,05-2765985,烏司達的誕生就和駱庫曼與Alice的戀情一樣，充滿了不可預期與戲劇化的成份；穿越大半個地球的勇氣，與在嘉義這個純樸的城市開設異國料理餐廳，則擁有同樣冒險創新的精神。<br>  一個到臺灣學習中文的土耳其男孩，與接受朋友請託照顧他的臺灣女孩，因日久生情而譜出戀曲，乍聽之下並非新鮮事。然而加上風俗民情的不同、飲食習慣的差異、雙方家庭的陌生等等，確實曾讓當時剛在萌芽的戀情增加過變數。「現在駱庫曼的國語說的不錯，也會跟我媽媽用簡單的臺語聊天，我媽媽很喜歡他呢！」Alice帶著溺愛的神情說著家人們親密的互動，駱庫曼則是沉穩的點頭微笑，儘管鮮少參與對話，卻始終認真傾聽。「土耳其人跟臺灣人一樣，注重倫理觀念，很重視家庭」Alice這樣解釋。大抵是這樣的民情使然，讓Alice與駱庫曼能克服文化藩籬，同心協力的維持好家庭與事業。<br>「掌握食材本身的精隨，不依附過多調味！」Alice在土耳其旅行時體會到異國料理迷人的特性，健康而廣泛的多元特性更讓她決意要將這份美好傳送回家鄉。在烏司答裡能同時品嚐家居料理與餐廳料理的特色，這樣的創舉是在土耳其罕見的。「在土耳其，家庭與餐廳供應的料理是截然不同的，你無法在餐廳裡吃到某些菜餚」。正因如此，在烏司答裡，店裡提供的多元菜樣，對客人來說不可謂一大福祉。<br>能讓駱庫曼運用他獨到的眼光與外國人的角度，未來再開設一間以他的中心思想為主軸的餐館，是他們現階段努力的目標。而我們也樂見其成，期待更多的創意種子，在此開花結果。,http://fun.chiayi.gov.tw/cy2012/images/778/images/烏司答士耳其居家香料料理1.jpg
佐賀屋,美食饗宴;異國料理,23.473501,120.445062,嘉義市垂楊路578號,05-2252588,民國96年（2007）佐賀の屋在嘉義創立，雖然開業只有幾年的時間，不過在嘉義已建立起好口碑，並擁有許多支持的顧客群。<br>老闆徐勝泰原本在臺中從事廣告行銷企劃工作，後來與他的客戶在故鄉嘉義合夥開設佐賀の屋日式料理店，不過後來由於合夥人因故無法再經營，於是他便毅然決然返鄉接手繼續經營佐賀の屋。<br>由於徐老闆曾經在著名的溫莎小鎮餐廳當過吧檯人員，對於水果雕刻更是專業，再加上對日本料理的興趣，因此回鄉經營佐賀の屋一點也難不倒他。尤其他更以廣告企劃的專業背景來行銷佐賀の屋，短短的幾年間便獲取許多忠實顧客的支持。不過他說，佐賀の屋之所以能夠贏得好口碑，主要還是因為對食材品質的堅持及對料理的用心。<br>舉例來說，店裡對鰻魚飯格外講究，不像一般料理店買現成的蒲燒鰻，而是從原產地選購一斤半左右的鰻魚，清理乾淨後、進行第一次燒烤，烤完後再蒸，蒸完後以手工拔除繁密的鰻刺，拔完刺後再刷上照燒醬烤過一遍。這就是遵循日本料理傳統作法的方式，雖然手工程序繁複，但如此才能吃得到Q彈的魚皮及鰻魚的原味。<br>此外，和風醬與沙茶烤醬等醬料皆是獨家調製，為的是要保留傳統日式的風味。各類定食餐點的食材搭配，不管是雞肉、豬肉、牛肉、鰻魚…等也會依客人口味的需求做調整。近來更開發出何首烏膳食料理，以符合現代人養生的概念。<br>  當然，佐賀の屋除了中餐、晚餐外，消夜則以居酒屋的型態營業，讓三五好友能在此聊天、小酌、吃串燒，戶外還提供吸煙用餐區，以滿足不同客群的需求。佐賀の屋也不定期更新菜單，讓消費者慢慢地感受到店家的用心。,http://fun.chiayi.gov.tw/cy2012/images/882/images/佐賀屋1.jpg
圓環炭燒杏仁茶,美食饗宴;風味茶飲,23.476507,120.456467,嘉義市文昌街51巷19號前(南門圓環),無,飄香六十多年的老攤，「炭燒杏仁茶」是嘉義人一大早元氣的來源。<br>  位於舊南門圓環東側，沒有固定的店面，僅在路口轉角處擺幾張塑膠座椅，老主顧們嫻熟地拿張椅子圍著老闆，點杯香濃的杏仁茶外加一根酥脆的油條，通常還會在杏仁茶裡加一顆新鮮的生蛋黃，就這樣主顧們便在路旁天南地北地大聊起來，客人們也趁此補充一天的能量與活力。<br>  超過一甲子的杏仁茶攤子，在嘉義已是小有名氣，老闆姓包，與太太共同經營老字號的圓環炭燒杏仁茶，傳承到他們已是第二代；上一代的經營方式是挑著杏仁茶沿路叫賣，需要喝茶的人喊一聲，即將小凳一放，讓客人喝完再起身一路賣去。現在則固定於南門圓環東側崇陽古道口附近設攤做生意，雖是街頭小販，但人情味非常濃厚的吃法，已成了嘉義一景。<br>包老闆每天清晨三點半便開始煮杏仁茶，主要的材料是將生米與杏仁一起用炭火煮成的道地炭燒杏仁茶，在炭爐上煮好杏仁茶後，包老闆會將茶放入大瓶子內保溫。走近攤位，便可聞到微微的炭燒味及杏仁香飄逸在圓環的空氣中。約莫從清晨五點開始擺攤販賣，通常到早上八、九點即售完收攤，晚到的民眾可是無福品嚐炭燒杏仁茶的好滋味。<br>  老闆說常喝杏仁茶不僅可以養顏美容、還可潤肺平喘，只見老闆先舀幾匙熱杏仁茶到鋼杯裡，隨後打一顆蛋黃進入，用竹筷子沾一點鹽，再攪拌均勻，一杯營養又好喝的古早味杏仁茶就完成啦。一早起來享用一杯熱騰騰的杏仁茶，感受著傳承兩代的好味道，無論您是坐在路邊或是站著享用，大家圍繞著老闆坐成一圈，一手拎著杏仁茶，一手拿著油條，不拘形式地豪邁吃起古早味的元氣早餐，保證讓您一天的活力滿滿！,http://fun.chiayi.gov.tw/cy2012/images/777/images/圓環炭燒杏仁茶1.jpg
阿里山精品國際有限公司,魅力商圈;購物商場;特色老店再現風華,23.482237,120.432525,嘉義市中興路252號,05-2332998,想到阿里山，除了茶葉，最不可或缺的當然是千年不老的傳奇－台灣檜木。台灣檜木有其獨特的芬香味，嘉義更是得天獨厚，因為這裡是台灣早期木材集散地，是阿里山腳下最幸福的城市。本公司利用台灣原物料，無論是漂流木或是拆舊房子的檜木材料，加以用心創新設計，成為全世界獨一無二的紀念品。歡迎客制化服務。,http://fun.chiayi.gov.tw/cy2012/images/691/images/2013102133352阿里山精品國際有限公司1.jpg
北楓彎豆冰,美食饗宴;風味茶飲;文化路商圈,23.483625,120.448767,嘉義市文化路286號,05-2780641,機會總是留給已經準備好了的人。<br>如果人生的機會好比大海中的海浪，有高有低。當機會如大海浪向你撲襲過來時，你一定要乘著大海的浪潮一躍而上，趁勢而起，踏上人生的浪潮圓夢去。<br>年輕的小陳跟著麵包師傅，學作麵包。務實的個性總是認真學習，在學習的過程中，得到許多麵包名師的教導，傳授烘焙的技術和技巧，加上自己將所學靈活的運用，讓他簡直就像是一名麵包與冰淇淋的魔法師，任憑小陳的巧手幻變。<br>小陳後來到臺中再開拓自己新的眼光、新的領域。有一天，在臺中有一位賣彎豆冰的老闆向小陳師傅請教如何製作冰淇淋，小陳師傅見機不可失，也向那位老闆表達很想學做彎豆冰的念頭，希望有一日可以返回嘉義市賣彎豆冰。兩人相談甚歡，於是就互相技術交換、互相切磋彼此技藝。<br>幾年後，小陳師傅結婚成家，他督促自己總要有一番作為，也獲得了父母的贊同與鼓勵，毅然決然回到嘉義市準備開創屬於自己的事業。<br>22年前在文化路創立了北楓彎豆冰，這是一間結合彎豆冰與冰淇淋蛋糕的專賣店，當時風靡愛冰人士，更造成一股時尚浪潮。直到如今，這股風潮仍未退散，這樣的魅力證明陳老闆慧眼獨具的創新思維，將彎豆冰巧妙地加入特製的冰淇淋，豐富了視覺，也滿足了饕客的味蕾。<br>陳老闆製作冰淇淋蛋糕的手藝一樣超群，真材實料，很受消費者的肯定。在北楓彎豆冰裏還有很多滋味獨特的飲品，當然也是您不能錯過的選擇。,http://fun.chiayi.gov.tw/cy2012/images/769/images/北楓彎豆冰1.jpg
咖啡漫步,美食饗宴;風味茶飲,23.469486,120.457385,嘉義市興業東路138號,05-2223011,一幢美麗的老房子、一個香港設計師、一位美食主義者，成就了一間浪漫氛圍的輕食&咖啡館。<br>位於興業東路一幢五十多年的老宿舍，老闆刻意保留了房子原來的大門、圍牆、庭園、舊鐵窗，如果您稍不留意，極可能與它錯身而過，以為那不過是一間普通的民宅，Come home店名的發想便源自於此。當您推開餐廳的大門，眼前的景象足以讓您會心一笑－－原來舊與新可以協調的如此賞心悅目！<br>  一般餐廳所追求的是翻桌率，翻桌率愈高所能創造的利潤也就相對提高，但這間民國101年（2012）才開幕不久的清新風格餐廳，卻想要您來店之後可以很慵懶、無拘束地久坐在此，如同回到自己家裡一般，不會感到急促匆忙。因此，餐廳內每個角落都是自成一格，讓人忍不住都想坐一坐，感受不同的風景，也讓自己凝結在優雅的畫面中。除此之外，嘉義另一家美食餐廳－－歐琳達料理坊因調整菜色所更換下來的餐具，也靜靜地躺在Come home其中的一個角落，等待有緣人來尋寶。<br>  在「輕食」的主題下，Come home的菜單以早午餐、下午茶為特色，包含貝果、三明治、吐司等，以及風味獨特的各式飲品。還有一定要大大推薦的限定料理－－燉菜料理附烤長棍麵包。長棍麵包外酥內軟、相當有嚼勁，份量十足，沾上燉菜的濃郁醬汁，口味絕配。<br>  Come home 咖啡漫步讓客人有回到家的舒適感，廚房的上方更採用透光良好的採光罩，若幸運的話，還可看到短腿科基犬穿梭其間。這裡不只是一間餐廳，員工們更存在著如同家人般的親情，來此用餐，您不妨用心感受一下那股像家一般溫暖的氛圍。,http://fun.chiayi.gov.tw/cy2012/images/928/images/咖啡漫步1.jpg
湖水岸人文休閒旅館,交通住宿;住宿;大小雅路商圈,23.480626,120.486567,嘉義市東區大雅路一段730號,05-2745000,出外旅遊，總希望能享受到有別於家裡的享受與體驗，來到嘉義遊玩時，不妨到湖水岸人文休閒旅館投宿，在這裡能夠讓人忘卻生活裡惱人的煩憂，體會精緻自在的生活享受。<br>  佔地千坪的庭園造景讓人感受到別於都市的清新自然，不自覺地使旅人輕鬆的拋卻俗事的塵擾。養生時尚的SPA水療，精工打造的人工按摩浴池，則能夠讓人享用寬敞而舒適的浪漫感受，不論是情侶或家庭都能夠在這舒適的氣氛中盡歡。20種樣式現代風情的豪華套房，滿足顧客喜歡嚐鮮的個性，讓您在每間套房都能有驚喜的發現。<br>而日本電視票選冠軍泉-日本秋田縣乳頭溫泉的使用足見用心，私密的冷池、熱湯、室內水景更是一應俱全，只要將水龍頭一打開，有如置身大自然輕鬆的感受便傳達到消費者的心中。您無需長途跋涉跑到日本，也能夠輕鬆的體會到異國專屬的悠閒風情。<br>24小時反偷拍的偵測裝置，為投宿的顧客體供了安全並貼心的服務，讓入住休閒旅館能擁有如同在家一般的安心。免費提供的點心飲料以及ADSL上網服務，讓商務客人也能放心的掌握工作訊息，貼心的為每個客人做足全方位的準備。<br>不定期的開放優惠專案及房型，回饋著使用線上訂房系統的朋友，更是為消費者的荷包把關。湖水岸人文休閒旅館就位於蘭潭湖畔，就近有大雅路商圈、嘉義公園、射日塔等嘉義知名景點，其地理位置前往鄰近的劍湖山、白河關子嶺亦十分便利，提供到嘉義遊玩民眾優質的極佳選擇。,http://fun.chiayi.gov.tw/cy2012/images/860/images/湖水岸人文休閒旅館1.jpg
福州魯味,美食饗宴;國民美食,23.48096,120.451996,嘉義市中山路227號,05-2286893,現代新式的滷味攤一家接著一家開設，滷味的種類也有乾、濕不同的作法，韓式、臺式等滷味也各自有擁護者，不過一家能屹立七十年的滷味老店則不容易，許多老嘉義人吃不慣新式滷味，一定要指名吃福州滷味，因為這裡有濃濃的古早味與人情味。<br>多年來，福州滷味已歷經三代，堪稱是嘉義著名的老店。早年曾在文化路的舊省立醫院附近販售滷味，以前都是用一個大盆子裝著滷味販賣的，後來則遷移至中山路現址繼續營業。濃濃的滷味香時常飄散在中山路的空氣當中，讓路過的行人總是忍不住踏進店內選購香郁的滷味來祭祭五臟廟。<br>店裡各式的滷味擺置在鐵盤當中，透過店門口偌大的玻璃窗往店內望去，可以看到滷味依種類整齊劃一的排列在店裡展售；一踏進店裡，立即感受到店家用心營造出的乾淨衛生販售空間，雖然牆上掛著許多幅傳統字畫，不過這樣的裝飾更散發出老店的古早氛圍。 <br>福州滷味的特色是乾式滷味，老闆以特殊的家傳滷味配方經數小時的熬製，散發出清香的藥膳味，舉凡鴨翅、鴨腳、鴨肉、鴨腱、鴨蛋、鴨腸、豆干、脆腸、米血、海帶、豬腳、豬血、豬小肚、豬頭皮、豬耳多、菊花肉、雞腿、雞腳、雞胗…等數十種滷味，看起來色澤深沉油亮、通透入味，每樣滷味都相當可口誘人，淋上熬到入味的滷汁，真教人一口接一口無法停止。<br>最特別的是這裡的滷蛋是用鴨蛋滷製，並分三個等級：滷一次的滷蛋較軟，適合喜歡軟嫩口味的人品嚐；滷兩次的滷蛋最香，滷到蛋黃都散發濃郁的香氣；滷三次的滷蛋則近似鐵蛋，口感較為Q彈。這樣的古早滷味您一定要「聞香下車」來嚐嚐。,http://fun.chiayi.gov.tw/cy2012/images/733/images/福州魯味1.jpg
富義宮,古蹟攬勝;廟宇;後火車站商圈,23.482486,120.440743,嘉義市竹文街95號,05-2338259,日治初期，有一位奉派來臺的日籍巡查名為森川清治郎，於明治33年（1900）間奉令調駐嘉義縣東石鄉副瀨派出所。當時森川巡查除了肩負維持治安的責任外，更於副瀨庄設置學堂，自費聘請師資教育民眾讀書識字，親自教導村民衛生常識及生產技術，因此深獲當時副瀨居民的敬仰。不過在明治35年（1902）副瀨村民懇求森川清治郎代為向上級長官陳情減免稅賦一事，由於受到長官曲解並予以告誡處分，其為表達無法完成村民付託之歉意，並對長官的誤解以明志，便舉槍自盡。村民聞訊，無不痛哭失聲。<br>　約二十年後，於大正12年（1923）春，鄰近村落正流行霍亂症，當時保正李九忽一夜間於矇矇中見到「森川巡查」著警服立於門前告訴他：「應留意鄰村的流行病，要注重衛生預先防治，來日可保平安無事！」李九遂依指示轉告村民進行預防，果然全村安然渡此浩劫，因此村民決議發起雕刻木質神像，正式尊稱其為「義愛公」。且於大正12年（1923）4月8日起，永久供奉於副瀨富安宮內為後代所敬仰。<br>到了昭和初年，有許多東石鄉副瀨村民為求生計，離鄉背井來到嘉義火車站從事鐵路貨物搬運的工作，並在火車站後方的區域定居下來，由於人數漸多，逐漸形成「小副瀨」聚落，同時也將家鄉的信仰帶來嘉義市。<br>在小副瀨聚落，相距數十公尺內即有三座奉祀義愛公神明的廟宇，這三座廟宇分別是富安宮、富義宮與富南宮，其與副瀨村富安宮祖廟的關係非常密切，其中富義宮更以義愛公為祭祀主神，每年農曆4月8日為義愛公昇天日，是小副瀨重要的宗教慶典，並於當天舉行幼兒進花仔錢活動，以消災解厄、保佑孩兒健康長大，頗符合義愛公之仁愛精神。,http://fun.chiayi.gov.tw/cy2012/images/830/images/富義宮1.jpg
成仁街老街（美街）,古蹟攬勝;歷史沿革,23.480429,120.452042,嘉義市成仁街,無,嘉義市古稱諸羅城，清康熙43年（1704）建城，至今已有三百多年歷史，現存的街道當中有不少始於清朝時的老街巷弄，如成仁街、中正路、府路巷、雲霄古道、崇陽古道…等，在在展現諸羅古城的歷史風華。其中隱匿在成仁街廣寧宮三山國王廟內建物後方還遺留二百多年前的舊城牆遺跡，可以清楚看到舊城牆是用糯米、糖漿、蚵殼粉當黏著劑，加上清朝特有紅磚堆砌而成的糯米牆。<br>成仁街古稱「米街」，晚近又稱「美街」，位於中山路與公明路中間區段，因為在十字街附近有許多富豪宅第，在清朝時主要為糧食買賣的集散地，米舖林立，是本街的特色。日治時期之後，市街改正，新闢許多街道，米商多移往交通便捷的街道，原本聚市的米店逐漸散軼，代之而起的是詩社、畫院、雕刻店及裱褙店等，儼然成為嘉義的藝術中心。相傳吳鳳幼時由漳州平和縣來臺時，曾居住此街，因而在二次世界大戰後，國民政府為紀念吳鳳成仁取義之精神，始改名為「成仁街」。<br>   日治時代，米街有多位知名藝術家在此落腳，藝術氣息濃厚，如名儒蘇孝德、賴世觀、吳增如、賴壺仙、賴鶴洲，書法家蔡文哲、蘇朗晨，畫家林玉山（出生地「風雅軒」）、宋光榮、盧雲生，雕塑家蒲添生（出生地今「文園裱褙店」，為嘉義畫家先軀陳澄波之女婿）等皆出自於此；近年來政府推展社區營造，為了凸顯成仁街的特色，乃有「美街」之稱，也為米街的諧音。<br>  漫步在富有歷史味道的老街上，就如同走入時光隧道般令人流連忘返。在都市發展下，雖然老街光環逐漸褪色，然而走過繁華，那記憶總停留於老嘉義人的腦海中。,http://fun.chiayi.gov.tw/cy2012/images/826/images/成仁街老街1.jpg
